chromosome	start	end	Monocytes_EPIC	B-cells_EPIC	CD4T-cells_EPIC	NK-cells_EPIC	CD8T-cells_EPIC	Neutrophils_EPIC	Erythrocyte_progenitors	Adipocytes	Cortical_neurons	Hepatocytes	Lung_cells	Pancreatic_beta_cells	Pancreatic_acinar_cells	Pancreatic_duct_cells	Vascular_endothelial_cells	Colon_epithelial_cells	Left_atrium	Bladder	Breast	Head_and_neck_larynx	Kidney	Prostate	Thyroid	Upper_GI	Uterus_cervix
chr1	943995	943996	0.9596	0.9679	0.9614	0.9541	0.963	0.9502	0.9871	0.9293	0.9038	0.9644	0.9291	0.564875	0.8714	0.9245	0.9124	0.8962	0.7898	0.711	0.8329	0.8963	0.7774	0.8366	0.9099	0.7852	0.5408
chr1	944003	944004	0.9707	0.9726	0.9696	0.9638	0.9748	0.9607	0.9899	0.9194	0.9293	0.9701	0.9165	0.591925	0.8914	0.9529	0.8994	0.8119	0.8486	0.8059	0.88	0.9255	0.8662	0.8993	0.944	0.8451	0.5665
chr1	944035	944036	0.8099	0.8322	0.8278	0.8432	0.8258	0.7768	0.8487	0.6128	0.7397	0.7131	0.6263	0.508825	0.6526	0.7633	0.6817	0.403	0.6512	0.6376	0.6838	0.6415	0.7051	0.6804	0.7379	0.5792	0.4812
chr1	963472	963473	0.9628	0.9618	0.9594	0.9544	0.9615	0.9468	0.9827	0.9538	0.9398	0.9442	0.9196	0.93335	0.9424	0.9397	0.9208	0.8597	0.9684	0.8723	0.9723	0.6736	0.9804	0.9312	0.9669	0.9176	0.9637
chr1	1007071	1007072	0.9642	0.9548	0.9518	0.9609	0.9564	0.9547	0.9786	0.8581	0.8121	0.9352	0.8577	0.873075	0.9292	0.956	0.915	0.6463	0.9606	0.618	0.7948	0.4831	0.8436	0.4356	0.9604	0.9557	0.9082
chr1	1007091	1007092	0.9699	0.9699	0.965	0.9622	0.9707	0.9608	0.9874	0.9563	0.8318	0.9243	0.8588	0.93765	0.9719	0.9749	0.947	0.7072	0.9782	0.6788	0.8577	0.5012	0.8905	0.4419	0.9798	0.9766	0.9557
chr1	1007109	1007110	0.8304	0.788	0.8095	0.8372	0.8124	0.8283	0.8678	0.6762	0.6316	0.8687	0.6576	0.624875	0.6577	0.747	0.7108	0.4457	0.804	0.4928	0.5559	0.4203	0.6835	0.3706	0.807	0.7672	0.7038
chr1	1007118	1007119	0.9069	0.874	0.8924	0.9072	0.895	0.9084	0.9394	0.8521	0.7127	0.9132	0.7564	0.811675	0.8351	0.8903	0.8332	0.5889	0.9188	0.6182	0.8306	0.4614	0.8047	0.4288	0.9239	0.8926	0.8696
chr1	1007316	1007317	0.9642	0.9632	0.9613	0.9612	0.9641	0.9649	0.9411	0.9643	0.7908	0.9571	0.9579	0.968675	0.9575	0.9555	0.9458	0.8593	0.9753	0.975	0.958	0.5587	0.9686	0.7757	0.9648	0.9658	0.9588
chr1	1040788	1040789	0.0557	0.0671	0.0558	0.0601	0.0581	0.0517	0.0304	0.4027	0.1082	0.0961	0.0819	0.19075	0.1575	0.2889	0.1567	0.099	0.0904	0.3401	0.1714	0.0792	0.3335	0.0797	0.1122	0.0741	0.0877
chr1	1040792	1040793	0.0035	0.005	0.007	0.0015	0.0058	0.0032	0.0022	0.2877	0.0465	0.0173	0.0054	0.04425	0.0516	0.2113	0.0339	0.0218	0.0464	0.2508	0.0631	0.0098	0.2265	0.008	0.0194	0.0163	0.0143
chr1	1040847	1040848	0.007	0.0111	0.0071	0.0046	0.0064	0.0081	0.0123	0.3502	0.0804	0.0352	0.0127	0.108	0.0931	0.2632	0.1111	0.0447	0.0649	0.2889	0.0934	0.0393	0.2644	0.0255	0.0648	0.0508	0.0442
